date,open,high,low,close,volume
2024-12-23,95098.66,96428.13,92378.53,94771.64,57639.3
2024-12-24,94771.64,99439.54,93437.9,98606.93,40945.61
2024-12-25,98606.93,99484.75,97568.85,99356.06,21801.56
2024-12-26,99356.06,99888.75,95098.08,95680.19,38437.52
2024-12-27,95680.19,97351.17,93270.34,94170.09,47149.3
2024-12-28,94170.09,95542.25,94008.53,95140.15,14159.69
2024-12-29,95140.15,95175.67,92850.44,93564.85,17921.9
2024-12-30,93564.85,94910.24,91310.52,92646.21,56846.06
2024-12-31,92646.21,96139.7,91894.97,93391.98,38897.74
2025-01-01,93391.98,94953.5,92728.81,94392.51,19153.02
2025-01-02,94392.51,97766.59,94197.85,96900.96,38283.3
2025-01-03,96900.96,98963.23,96021.74,98135.8,28427.3
2025-01-04,98135.8,98757.16,97522.47,98213.69,9919.49
2025-01-05,98213.69,98818.4,97248.4,98346.97,9872.68
2025-01-06,98346.97,102530.34,97908.09,102282.2,46146.96
2025-01-07,102282.2,102747.54,96112.95,96942.47,54319.14
2025-01-08,96942.47,97251.53,92488.45,95051.06,57721.92
2025-01-09,95051.06,95345.44,91197.56,92548.12,50519.28
2025-01-10,92548.12,95845.36,92206.53,94710.29,55479.83
2025-01-11,94710.29,94985.54,93826.56,94569.95,9594.23
2025-01-12,94569.95,95388.08,93675.7,94505.67,10865.93
2025-01-13,94505.67,95894.16,89153.4,94517.66,67978.59
2025-01-14,94517.66,97357.87,94324.09,96526.87,44347.27
2025-01-15,96526.87,100719.11,96466.75,100510.84,43167.2
2025-01-16,100510.84,100867.35,97275.38,99979.43,43426.87
2025-01-17,99979.43,105926.06,99941.15,104111.13,54200.85
2025-01-18,104111.13,104927.11,102234.37,104431.52,25366.61
2025-01-19,104431.52,106317.18,99537.53,101212.56,41597.34
2025-01-20,101212.56,109340.21,99449.75,102148.74,68840.35
2025-01-21,102148.74,107252.77,100069.04,106155.61,84552.76
2025-01-22,106155.61,106398.57,103321.48,103669.08,43996.49
2025-01-23,103669.08,106865.3,101221.0,103933.88,94063.64
2025-01-24,103933.88,107170.86,102751.09,104854.78,40201.93
2025-01-25,104854.78,105282.15,104107.08,104733.15,11835.64
2025-01-26,104733.15,105475.33,102487.8,102576.93,14118.63
2025-01-27,102576.93,103230.24,97712.77,102065.72,94472.14
2025-01-28,102065.72,103787.72,100221.08,101284.47,44096.37
2025-01-29,101284.47,104796.98,101279.83,103742.97,47080.07
2025-01-30,103742.97,106472.04,103297.81,104739.58,36659.17
2025-01-31,104739.58,106101.91,101514.21,102412.41,42222.31
2025-02-01,102412.41,102768.26,100270.22,100619.87,15691.73
2025-02-02,100619.87,101436.9,96158.45,97665.06,56620.33
2025-02-03,97665.06,102575.82,91142.87,101451.28,119095.77
2025-02-04,101451.28,101800.32,95090.81,97794.88,63348.17
2025-02-05,97794.88,99208.65,96175.47,96633.71,42695.62
2025-02-06,96633.71,99180.75,95691.57,96564.27,44725.1
2025-02-07,96564.27,100202.29,95630.04,96532.73,51939.12
2025-02-08,96532.73,96906.35,95685.31,96475.59,12529.37
2025-02-09,96475.59,97340.86,94752.27,96485.6,18638.48
2025-02-10,96485.6,98363.35,95276.7,97458.59,28119.4
2025-02-11,97458.59,98499.44,94852.37,95781.05,29002.62
2025-02-12,95781.05,98127.45,94087.33,97874.61,40118.73
2025-02-13,97874.61,98104.11,95225.08,96632.78,23246.76
2025-02-14,96632.78,98869.28,96282.72,97508.71,20187.22
2025-02-15,97508.71,97979.54,97245.24,97596.21,5831.48
2025-02-16,97596.21,97728.27,96069.15,96132.69,6632.76
2025-02-17,96132.69,97046.2,95226.61,95790.31,14565.31
2025-02-18,95790.31,96736.69,93361.47,95630.67,26359.54
2025-02-19,95630.67,96885.35,95032.61,96640.99,17048.51
2025-02-20,96640.99,98763.14,96430.11,98345.66,21068.47
2025-02-21,98345.66,99519.21,94775.25,96150.27,40404.88
2025-02-22,96150.27,96973.86,95771.79,96580.46,11673.75
2025-02-23,96580.46,96674.04,95255.75,96274.12,7473.29
2025-02-24,96274.12,96514.26,91349.77,91536.97,31216.13
2025-02-25,91536.97,92540.35,85944.14,88609.26,73085.74
2025-02-26,88609.26,89320.19,82199.13,84128.38,59111.39
2025-02-27,84128.38,87008.08,82601.58,84657.34,46301.47
2025-02-28,84657.34,85114.25,78203.72,84322.57,79539.18
2025-03-01,84322.57,86537.62,83798.96,86050.58,18530.02
2025-03-02,86050.58,95106.04,85047.82,94275.76,48038.07
2025-03-03,94275.76,94415.65,85071.66,86158.95,65233.7
2025-03-04,86158.95,88941.97,81449.43,87255.42,67017.22
2025-03-05,87255.42,91001.98,86341.87,90610.8,38856.74
2025-03-06,90610.8,92808.83,87818.33,89931.91,38977.52
2025-03-07,89931.91,91275.25,84649.25,86766.61,70464.28
2025-03-08,86766.61,86860.89,85206.97,86225.0,10574.16
2025-03-09,86225.0,86509.85,80006.76,80719.05,23565.36
2025-03-10,80719.05,84037.25,77420.92,78561.62,54996.98
2025-03-11,78561.62,83608.26,76581.52,82919.47,46456.32
2025-03-12,82919.47,84410.29,80596.11,83665.14,33320.8
2025-03-13,83665.14,84307.29,79915.4,81081.43,25813.81
2025-03-14,81081.43,85315.9,80787.81,83995.47,27692.23
2025-03-15,83995.47,84688.82,83628.73,84355.92,6081.09
2025-03-16,84355.92,85083.1,81992.19,82572.37,13119.21
2025-03-17,82572.37,84760.98,82442.95,84025.12,19966.07
2025-03-18,84025.12,84039.3,81137.39,82716.74,20939.97
2025-03-19,82716.74,87036.45,82562.03,86878.5,30764.1
2025-03-20,86878.5,87483.4,83611.66,84178.31,25040.14
2025-03-21,84178.31,84798.7,83129.17,84060.48,15799.47
2025-03-22,84060.48,84503.68,83661.65,83837.39,4784.27
2025-03-23,83837.39,86126.45,83807.2,86091.67,7450.59
2025-03-24,86091.67,88782.52,85546.71,87520.48,26225.71
2025-03-25,87520.48,88575.0,86325.18,87439.7,23097.19
2025-03-26,87439.7,88297.12,85867.66,86923.95,19657.36
2025-03-27,86923.95,87779.02,85817.84,87218.89,16968.52
2025-03-28,87218.89,87492.39,83544.63,84387.01,25383.93
2025-03-29,84387.01,84583.02,81634.23,82625.65,11328.65
2025-03-30,82625.65,83516.72,81563.47,82379.51,10151.57
2025-03-31,82379.51,83917.4,81290.13,82539.52,22937.49
2025-04-01,82539.52,85554.98,82419.98,85174.96,23296.36
2025-04-02,85174.96,88505.24,82299.2,82490.58,41160.08
2025-04-03,82490.58,83928.41,81178.57,83158.8,28340.47
2025-04-04,83158.8,84716.02,81648.68,83860.21,37104.6
2025-04-05,83860.21,84230.44,82357.52,83503.37,7478.68
2025-04-06,83503.37,83756.1,77079.93,78365.57,29753.86
2025-04-07,78365.57,81172.27,74426.93,79143.06,71279.71
2025-04-08,79143.06,80835.83,76181.24,76255.1,39397.81
2025-04-09,76255.1,83574.06,74569.86,82587.03,62853.19
2025-04-10,82587.03,82710.13,78405.82,79554.96,31362.13
2025-04-11,79554.96,84266.51,78924.27,83386.0,29349.5
2025-04-12,83386.0,85899.74,82766.93,85272.12,14180.76
2025-04-13,85272.12,86079.47,83019.76,83730.92,16310.95
2025-04-14,83730.92,85796.21,83667.03,84575.75,24118.6
2025-04-15,84575.75,86473.18,83596.04,83638.17,18210.0
2025-04-16,83638.17,85485.35,83094.96,84029.4,22244.37
2025-04-17,84029.4,85472.23,83725.98,84943.42,15229.6
2025-04-18,84943.42,85132.75,84287.73,84459.96,5504.81
2025-04-19,84459.96,85614.27,84355.7,85061.54,5342.18
2025-04-20,85061.54,85302.3,83954.54,85167.14,5694.47
2025-04-21,85167.14,88526.3,85132.52,87515.57,30403.0
2025-04-22,87515.57,93937.07,87084.84,93483.3,42804.67
2025-04-23,93483.3,94656.65,91943.03,93729.23,32977.9
2025-04-24,93729.23,94047.54,91693.21,94022.48,21490.53
2025-04-25,94022.48,95924.19,92883.11,94711.24,32483.13
2025-04-26,94711.24,95258.03,93916.48,94663.66,7391.42
2025-04-27,94663.66,95346.43,93671.22,93777.44,7713.95
2025-04-28,93777.44,95636.66,92864.35,95035.06,20417.05
2025-04-29,95035.06,95487.2,93780.51,94274.16,16856.75
2025-04-30,94274.16,95250.77,92968.85,94186.14,21486.05
2025-05-01,94186.14,97505.38,94150.92,96519.31,23665.14
2025-05-02,96519.31,97939.99,96386.78,96925.07,16175.06
2025-05-03,96925.07,96963.89,95826.0,95903.14,7082.92
